index,Question,Segment Type,Segment Description,Answer,Count,Percentage,Count_log,Facebook,Instagram,Snapchat,Twitter,nan,Count_standardized,Percentage_standardized
69,What social platform has influenced your online shopping most?,University,Auburn University,nan,4,1.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.0,-0.3579541123289209,2.8978644388705295
70,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Facebook,1,0.143,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,-0.1898280778356512
71,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Instagram,2,0.286,1.0986122886681098,0.0,1.0,0.0,0.0,0.0,-0.3969107843301633,0.3253878263521945
72,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
73,What social platform has influenced your online shopping most?,University,Randolph-Macon College,Twitter,1,0.143,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,-0.41638912033078446,-0.1898280778356512
74,What social platform has influenced your online shopping most?,University,Randolph-Macon College,nan,3,0.429,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,-0.3774324483295421,0.8406037305400403
75,What social platform has influenced your online shopping most?,University,Wisconsin HS,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
76,What social platform has influenced your online shopping most?,University,Wisconsin HS,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
77,What social platform has influenced your online shopping most?,University,Wisconsin HS,Snapchat,1,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,2.8978644388705295
78,What social platform has influenced your online shopping most?,University,Wisconsin HS,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
79,What social platform has influenced your online shopping most?,University,Wisconsin HS,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43586745633140567,-0.7050439820234969
80,What social platform has influenced your online shopping most?,University,Penn State University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
81,What social platform has influenced your online shopping most?,University,Penn State University,Instagram,1,0.333,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
82,What social platform has influenced your online shopping most?,University,Penn State University,Snapchat,1,0.333,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,-0.41638912033078446,0.4947245221342139
83,What social platform has influenced your online shopping most?,University,Penn State University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
84,What social platform has influenced your online shopping most?,University,Penn State University,nan,1,0.333,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,0.4947245221342139
85,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,1,0.25,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.19568312320000966
86,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
87,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
88,What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
89,What social platform has influenced your online shopping most?,University,Case Western Reserve University,nan,3,0.75,1.3862943611198906,0.0,0.0,0.0,0.0,1.0,-0.3774324483295421,1.9971373336470228
90,What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
91,What social platform has influenced your online shopping most?,University,Rutgers University,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
92,What social platform has influenced your online shopping most?,University,Rutgers University,Snapchat,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
93,What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.43586745633140567,-0.7050439820234969
94,What social platform has influenced your online shopping most?,University,Rutgers University,nan,1,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,-0.41638912033078446,2.8978644388705295
95,What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.25,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,-0.41638912033078446,0.19568312320000966
96,What social platform has influenced your online shopping most?,University,University of Oregon,Instagram,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.43586745633140567,-0.7050439820234969
97,What social platform has influenced your online shopping most?,University,University of Oregon,Snapchat,2,0.5,1.0986122886681098,0.0,0.0,1.0,0.0,0.0,-0.3969107843301633,1.0964102284235162
